,Period,
1,7:25:00 AM,8:10:00 AM
2,8:15:00 AM,9:00:00 AM
3,9:05:00 AM,9:55:00 AM
4,10:00:00 AM,10:45:00 AM
5 (LUNCH),10:50:00 AM,12:45:00 PM
6,12:50:00 PM,1:35:00 PM
7,1:40:00 PM,2:25:00 PM
Lunches,,
Bell - Bryant - Dailey - Douglas - Handy - Hillman - Hornback - Huddleston - Pittman - Rush - Sims - Sullivan - Thornton - Woods - AAD and CDC,10:50:00 AM,11:15:00 AM
Bonilla - Butcher - Carey - Drake - Fox - Freeman - Gregory - Holt - Shelton - Short - Sickel - Torres - Wiggins - Young - Ziolkowski,11:20:00 AM,11:45:00 AM
Berg - Buchanan - Busbee - Carota - Cook. D - Cook. T - Deason - Graves-Hirsh - Johnson. J - Kee - Keith - Kinslow - McKillip - Moss - Nieto - Robinson - Shay - Williams - Wray - Wynn,11:50:00 AM,12:15:00 PM
Boone - Chilcutt - Froboese - Gaskill - Irwin - Long - Maxwell - McKay - McKnight - Nolan - Price - Robichaud - Sharp - Shearon - Shelby - Stanley - Whiteside,12:20:00 PM,12:45:00 PM
