,6,,,7,,,8,,,Algebra I - 8,,,Extended Time,
HR,7:00:00 AM,7:30:00 AM,HR,7:00:00 AM,7:30:00 AM,HR,7:00:00 AM,7:30:00 AM,HR,7:00:00 AM,7:30:00 AM,HR,7:00:00 AM,7:30:00 AM
Move to Test Locations,7:30:00 AM,7:35:00 AM,Move to Test Locations,7:30:00 AM,7:35:00 AM,Move to Test Locations,7:30:00 AM,7:35:00 AM,Move to Test Locations,7:30:00 AM,7:35:00 AM,Move to Test Locations,7:30:00 AM,7:35:00 AM
Pass out MATH 1 Test & Materials. Read directions.,7:35:00 AM,7:50:00 AM,Pass out MATH 1 Test & Materials. Read directions.,7:35:00 AM,7:50:00 AM,Pass out MATH 1 Test & Materials. Read directions.,7:35:00 AM,7:50:00 AM,Pass out ALG SUB 1 Test & Materials. Read directions.,7:35:00 AM,7:50:00 AM,Pass out MATH 1 Test & Materials. Read directions.,7:35:00 AM,7:50:00 AM
MATH 1 Test,7:50:00 AM,8:38:00 AM,MATH 1 Test,7:50:00 AM,8:38:00 AM,MATH 1 Test,7:50:00 AM,8:38:00 AM,ALG SUB 1 Test,7:50:00 AM,8:32:00 AM,MATH 1 Test,7:50:00 AM,8:58:00 AM
Collect Test & Materials and Restroom Break,8:38:00 AM,8:58:00 AM,Collect Test & Materials and Restroom Break,8:38:00 AM,8:58:00 AM,Collect Test & Materials and Restroom Break,8:38:00 AM,8:58:00 AM,Collect Test & Materials and Restroom Break,8:32:00 AM,8:42:00 AM,Collect Test & Materials and Restroom Break,8:58:00 AM,9:25:00 AM
Pass out MATH 2 Test & Materials. Read directions.,8:58:00 AM,9:05:00 AM,Pass out MATH 2 Test & Materials. Read directions.,8:58:00 AM,9:05:00 AM,Pass out MATH 2 Test & Materials. Read directions.,8:58:00 AM,9:05:00 AM,Pass out ALG SUB 2 Test & Materials. Read directions.,8:42:00 AM,8:50:00 AM,Pass out MATH 2 Test & Materials. Read directions.,9:25:00 AM,9:32:00 AM
ELA MATH 2 Test,9:05:00 AM,9:47:00 AM,ELA MATH 2 Test,9:05:00 AM,9:47:00 AM,ELA MATH 2 Test,9:05:00 AM,9:47:00 AM,ALG SUB 2 Test,8:50:00 AM,9:50:00 AM,ELA MATH 2 Test,9:32:00 AM,10:31:00 AM
Collect Test & Materials. Collection in hallway.,9:47:00 AM,9:55:00 AM,Collect Test & Materials. Collection in hallway.,9:47:00 AM,9:55:00 AM,Collect Test & Materials. Collection in hallway.,9:47:00 AM,9:55:00 AM,Collect Test & Materials. Collection in hallway.,9:50:00 AM,9:55:00 AM,Collect Test & Materials. Collection in hallway.,10:31:00 AM,10:40:00 AM
1st,10:00:00 AM,10:52:00 AM,1st (LUNCH),10:00:00 AM,11:28:00 AM,3rd,10:00:00 AM,10:52:00 AM,3rd,10:00:00 AM,10:52:00 AM,7TH GO TO LUNCH. 6TH AND 8TH RETURN TO SCHEDULE,10:40:00 AM,2:15:00 PM
2nd,10:57:00 AM,11:47:00 AM,2nd,11:33:00 AM,12:25:00 PM,4th (LUNCH),10:57:00 AM,12:25:00 PM,4th (LUNCH),10:57:00 AM,12:25:00 PM,,,
5th (LUNCH),11:52:00 AM,1:22:00 PM,3rd,12:30:00 PM,1:22:00 PM,5th,12:30:00 PM,1:22:00 PM,5th,12:30:00 PM,1:22:00 PM,,,
6th,1:27:00 PM,2:15:00 PM,4th,1:27:00 AM,2:15:00 PM,6th,1:27:00 PM,2:15:00 PM,6th,1:27:00 PM,2:15:00 PM,,,
Lunches,,,,,,,,,,,,,,
Lackey - Barger - Stritzel - Lemmon - Campbell - Connelly - Welch - Brockley,12:20:00 PM,12:50:00 PM,Coleman - Brown - Abernathy - Mabry - Nelson - Puckett,10:15:00 AM,10:45:00 AM,Richard - Pennington - Kentner - Attardi - DeLong - Fox,11:15:00 AM,11:45:00 AM,Richard - Pennington - Kentner - Attardi - DeLong - Fox,11:15:00 AM,11:45:00 AM,,,
Levin - Moore - Lee - Hartz - Hicks - Alford - King - Shepherd,12:45:00 PM,1:10:00 PM,Richards - Plockelman - Shaffer - Elkins - Williams - Tue,10:40:00 AM,11:10:00 AM,Roberts - Patton - Crozier - Lelito - Kinser - McClellan,11:45:00 AM,12:15:00 PM,Roberts - Patton - Crozier - Lelito - Kinser - McClellan,11:45:00 AM,12:15:00 PM,,,
